"repository","repositoryRoot","status","path","sizeBytes","sha256","classification","sensitivityFlags"
"production-backend","C:\DevProjects\f-freedom-stable\backend"," M","src/services/read/orbitQueryService.js","75226","5927eeda7570f7f0fa6ded2e1069840fdaeeeda3bf681bc50e927e5555ccc086","production-runtime-change-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend"," M","src/services/snapshots/orbitLevelSnapshotBuilder.js","24883","8b5565ca2c35022d377fe871e59b229fbc226e74c026e315a4f4801299a682d8","production-runtime-change-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??",".tmp-mongo/mongod.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","generated-delete-candidate","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","migration-audits/wallet-migration-inventory-91313968.json","249209","95e3e28603751a3906425c3e14eeeacdc1772ff17463565c6213cefd94dd14a9","manual-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","migration-audits/wallet-replacement-descendant-edges-91313968.json","26284","02fac291470472bda2b6438b2f8dddb21b30e4dfc83f8cfec612453f4351fd25","manual-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","scripts/auditInactiveLevelEarnings.tmp.js","4593","459dbd120cd75260a9de730203d6e5aafa50fdc6f128d0e39fac5aac194c859b","temporary-diagnostic-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","scripts/auditPostWalletMigrationActivity.tmp.js","3470","2b597b04bcffafdbfaae400dca7ea315a8117b432443a78cfb780132d6ba2479","temporary-diagnostic-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","scripts/auditProductionReadConsistency.tmp.js","8659","c30c4053624223863f0195882317e5fd53829987d0b747aa2b6d088260682cb9","temporary-diagnostic-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","scripts/auditProductionRecycleMechanism.tmp.js","2553","31dde7fbfe06d6e4ead95d937ac90640c5c06ad57199392b3baa3e72c78dcff6","temporary-diagnostic-review","System.Object[]"
"production-backend","C:\DevProjects\f-freedom-stable\backend","??","scripts/auditWalletMigrationInventory.tmp.js","9741","3020f4035bd478ac863f8c6458549a8775380b32520feb1f89bb2d88cbd1d3db","temporary-diagnostic-review","System.Object[]"
